SCD,TelefonicaConfiguration,"Controlling node
(SHU B1)",SupportSystemControl,ClimateSystem,ClimateControlMode ,"Ext Node 1
(SHU A5)","Ext Node 2
(SHU A6)","Ext Node 3
(SHU A7)","Ext Node 4
(SCU EC-B)","Ext Node 5
(SHU A3 or SCU EC-E)",,Conrtolling node,SupportSystemControl,ClimateSystem,ClimateControlMode ,"Ext Node 1
(SHU A5)","Ext Node 2
(SHU A6)","Ext Node 3
(SHU A7)","Ext Node 4
(SCU EC-B)","Ext Node 5
(SHU A3 or SCU EC-E)",,SupportSystemControl,ClimateSystem,ClimateControlMode ,SupportSystemControl,ClimateSystem,ClimateControlMode ,SupportSystemControl,ClimateSystem,ClimateControlMode 
B2 28/5G (1.2) 05,RBS6201 3-Sector L1800 20W High Capacity,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,DUG-3,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 28/5G (1.2) 05,RBS6102 3-Sector L1800 20W High Capacity,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,DUG-3,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 28/5G (1.2) 05,20W-High-Indoor-L800 RRU-3 Sector,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,DUG-3,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 28/5G (1.2) 05,20W-High-Outdoor-L800 RRU-3 Sector,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,DUG-3,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 30,20W-High-Indoor-L800 RRU-2 Sector,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 30,20W-High-Outdoor-L800 RRU-2 Sector,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 31/5G (1.2) 06,20W-High-Indoor-L800 RRU + U21 RRU-3 Sector,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,DUG-3,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 31/5G (1.2) 06,RBS6201 3-Sector L1800 20W High Capacity U2100 RRU,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,DUG-3,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 31/5G (1.2) 06,RBS6102 3-Sector L1800 20W High Capacity U2100 RRU,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,DUG-3,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 32,RBS6201 3-Sector L1800 RRU 20W High Capacity U2100 RRU,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,DUG-3,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 33/5G (1.2) 07,20W-Medium-Indoor-L800 RRU-3 Sector,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 33/5G (1.2) 07,20W-Medium-Outdoor-L800 RRU-3 Sector,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 34,20W-Medium-Indoor-L800 RRU-2 Sector,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 34,20W-Medium-Outdoor-L800 RRU-2 Sector,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 35,RBS 6201 20W Medium U2100 RRU - 3 Sectors,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 36/5G (1.2) 10,20W-Network Rail-Indoor-L800 RRU-3 Sector,DUG-1,TRUE,Extended,Normal,DUG-2,N/A,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 38,20W-Network Rail-Indoor-L800 RRU-3 Sector No L1800,DUG-1,TRUE,Extended,Normal,DUG-2,N/A,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 36/5G (1.2) 10,20W-Network Rail-Outdoor-L800 RRU-3 Sector,DUG-1,TRUE,Extended,Battery_Life_Extension,DUG-2,N/A,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 38,20W-Network Rail-Outdoor-L800 RRU-3 Sector No L1800,DUG-1,TRUE,Extended,Battery_Life_Extension,DUG-2,N/A,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 40,20W-Network Rail-Indoor-L800 RRU-2 Sector,DUG-1,TRUE,Extended,Normal,DUG-2,N/A,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 41,20W-Network Rail-Indoor-L800 RRU-2 Sector No L1800,DUG-1,TRUE,Extended,Normal,DUG-2,N/A,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 40,20W-Network Rail-Outdoor-L800 RRU-2 Sector,DUG-1,TRUE,Extended,Battery_Life_Extension,DUG-2,N/A,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 41,20W-Network Rail-Outdoor-L800 RRU-2 Sector No L1800,DUG-1,TRUE,Extended,Battery_Life_Extension,DUG-2,N/A,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 42/5G (1.2) 08,20W-Small-Indoor-L800 RRU-3 Sector L1800,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 42/5G (1.2) 08,20W-Small-Outdoor-L800 RRU-3 Sector L1800,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 42/5G (1.2) 08,RBS6201 3-Sector L1800 20W Small Capacity,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 42/5G (1.2) 08,RBS6102 3-Sector L1800 20W Small Capacity,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 43/5G (1.2) 09,RBS6201 2-Sector L1800 20W Small Capacity,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 43/5G (1.2) 09,RBS6102 2-Sector L1800 20W Small Capacity,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 43/5G (1.2) 09,20W-Small-Indoor-L800 RRU-2 Sector L1800,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 43/5G (1.2) 09,20W-Small-Outdoor-L800 RRU-2 Sector L1800,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 42,RBS6201 3-Sector L1800 20W Small U2100 RRU,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 44,RBS6201 3-Sector L1800 RRU 20W Small U2100 RRU,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 44,RBS6102 3-Sector L1800 RRU 20W Small U2100 RRU,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 45/5G (1.2) 12,RBS6201 2-Sector L1800 RRU 20W Small U2100 RRU,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 45/5G (1.2) 12,RBS6102 2-Sector L1800 RRU 20W Small U2100 RRU,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Removed(Orange),20W-Small-Indoor-L800 RRU-3 Sector No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),20W-Small-Outdoor-L800 RRU-3 Sector No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),20W-Small-Indoor-L800 RRU-2 Sector No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),20W-Small-Outdoor-L800 RRU-2 Sector No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),20W-Small-Indoor-L800 RRU-1 Sector No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),20W-Small-Outdoor-L800 RRU-1 Sector No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),RBS6201 3-Sector 20W Small Capacity (Radio 2217) No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),RBS6102 3-Sector 20W Small Capacity (Radio 2217) No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),RBS6201 2-Sector 20W Small Capacity (Radio 2217) No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),RBS6102 2-Sector 20W Small Capacity (Radio 2217) No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),RBS6201 1-Sector 20W Small Capacity (Radio 2217) No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Removed(Orange),RBS6102 1-Sector 20W Small Capacity (Radio 2217) No NB-IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2 46/5G (1.2) 11,20W-Small-Indoor-L800 RRU-3 Sector,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 46/5G (1.2) 11,20W-Small-Outdoor-L800 RRU-3 Sector,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 47,20W-Small-Indoor-L800 RRU-2 Sector,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 47,20W-Small-Outdoor-L800 RRU-2 Sector,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 48,20W-Small-Indoor-L800 RRU-1 Sector,TEF LTE BB,TRUE,Extended,Normal,DUG-1,VFE LTE BB,U21 DUW,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 48,20W-Small-Outdoor-L800 RRU-1 Sector,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,DUG-1,VFE LTE BB,U21 DUW,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 46/5G (1.2) 11,RBS6201 3-Sector 20W Small Capacity (Radio 2217),U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 46/5G (1.2) 11,RBS6102 3-Sector 20W Small Capacity (Radio 2217),U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 47,RBS6201 2-Sector 20W Small Capacity (Radio 2217),U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 47,RBS6102 2-Sector 20W Small Capacity (Radio 2217),U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 48,RBS6201 1-Sector 20W Small Capacity (Radio 2217),TEF LTE BB,TRUE,Extended,Normal,DUG-1,VFE LTE BB,U21 DUW,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 48,RBS6102 1-Sector 20W Small Capacity (Radio 2217),TEF LTE BB,TRUE,Extended,Battery_Life_Extension,DUG-1,VFE LTE BB,U21 DUW,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 49/5G (1.2) 11,RBS 6201 20W Small U2100 RRU - 3 Sectors,U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 49/5G (1.2) 11,RBS6201 3-Sector 20W Small U2100 RRU (Radio 2217),U900 DUW,TRUE,Extended,Normal,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Normal,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 49/5G (1.2) 11,RBS6102 3-Sector 20W Small U2100 RRU (Radio 2217),U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,N/A,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,U21 DUW,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 50,B2 Upgrade of Small SF 20W – 3 sectors Redesigned to ERS 2217,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,U21 DUW,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B2 51,B2 Upgrade of Small SF 20W – 2 sectors Redesigned to ERS 2217,U900 DUW,TRUE,Extended,Battery_Life_Extension,DUG-1,DUG-2,U21 DUW,N/A,N/A,,TEF LTE BB,TRUE,Extended,Battery_Life_Extension,VFE LTE BB,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Removed(Orange),20W-Small-Outdoor-Non-RRU-3 Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
